"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): Total","Occupation (Skill level): Total","2023",71616.636,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",41268.499,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): Total","Occupation (Skill level): Skill level 2 ~ medium","2023",25782.493,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): Total","Occupation (Skill level): Skill level 1 ~ low","2023",4565.645,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 15-24","Occupation (Skill level): Total","2023",9937.139,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 15-24","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",3172.452,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 15-24","Occupation (Skill level): Skill level 2 ~ medium","2023",5733.143,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 15-24","Occupation (Skill level): Skill level 1 ~ low","2023",1031.544,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 25-34","Occupation (Skill level): Total","2023",16125.532,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 25-34","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",9925.681,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 25-34","Occupation (Skill level): Skill level 2 ~ medium","2023",5350.925,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 25-34","Occupation (Skill level): Skill level 1 ~ low","2023",848.926,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 35-44","Occupation (Skill level): Total","2023",15473.433,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 35-44","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",10098.352,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 35-44","Occupation (Skill level): Skill level 2 ~ medium","2023",4575.581,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 35-44","Occupation (Skill level): Skill level 1 ~ low","2023",799.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 45-54","Occupation (Skill level): Total","2023",14112.325,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 45-54","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",8850.004,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 45-54","Occupation (Skill level): Skill level 2 ~ medium","2023",4380.163,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 45-54","Occupation (Skill level): Skill level 1 ~ low","2023",882.157,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 55-64","Occupation (Skill level): Total","2023",11616.347,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 55-64","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",6815.733,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 55-64","Occupation (Skill level): Skill level 2 ~ medium","2023",4070.557,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 55-64","Occupation (Skill level): Skill level 1 ~ low","2023",730.057,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 65+","Occupation (Skill level): Total","2023",4351.861,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 65+","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",2406.277,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 65+","Occupation (Skill level): Skill level 2 ~ medium","2023",1672.123,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 65+","Occupation (Skill level): Skill level 1 ~ low","2023",273.46,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
